time_s,displacement_mm,frame,force_n,image_path,extracted_path
0.0,0.0,0,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/frame_00000.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00000.jpg"
0.127,0.0212,1,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/frame_00001.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00001.jpg"
0.262,0.0437,2,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/frame_00002.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00002.jpg"
0.39,0.065,3,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/frame_00003.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00003.jpg"
0.524,0.0873,4,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/frame_00004.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00004.jpg"
0.654,0.109,5,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/frame_00005.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00005.jpg"
0.79,0.1317,6,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/frame_00006.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00006.jpg"
0.952,0.1587,7,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/frame_00007.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00007.jpg"
1.083,0.1805,8,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/frame_00008.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00008.jpg"
1.215,0.2025,9,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/frame_00009.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -10)/frames/extracted/frame_00009.jpg"
