time_s,displacement_mm,frame,force_n,image_path,extracted_path
0.0,0.0,0,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00000.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00000.jpg"
0.132,0.022,1,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00001.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00001.jpg"
0.261,0.0435,2,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00002.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00002.jpg"
0.396,0.066,3,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00003.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00003.jpg"
0.526,0.0877,4,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00004.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00004.jpg"
0.656,0.1093,5,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00005.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00005.jpg"
0.791,0.1318,6,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00006.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00006.jpg"
0.919,0.1532,7,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00007.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00007.jpg"
1.054,0.1757,8,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00008.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00008.jpg"
1.184,0.1973,9,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00009.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00009.jpg"
1.317,0.2195,10,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00010.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00010.jpg"
1.45,0.2417,11,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00011.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00011.jpg"
1.581,0.2635,12,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00012.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00012.jpg"
1.715,0.2858,13,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00013.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00013.jpg"
1.847,0.3078,14,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00014.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00014.jpg"
1.979,0.3298,15,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00015.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00015.jpg"
2.111,0.3518,16,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00016.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00016.jpg"
2.244,0.374,17,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00017.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00017.jpg"
2.373,0.3955,18,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00018.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00018.jpg"
2.507,0.4178,19,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00019.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00019.jpg"
2.67,0.445,20,0.008,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00020.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00020.jpg"
2.802,0.467,21,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00021.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00021.jpg"
2.935,0.4892,22,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00022.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00022.jpg"
3.067,0.5112,23,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00023.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00023.jpg"
3.198,0.533,24,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00024.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00024.jpg"
3.33,0.555,25,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00025.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00025.jpg"
3.463,0.5772,26,0.011,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00026.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00026.jpg"
3.594,0.599,27,0.011,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00027.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00027.jpg"
3.725,0.6208,28,0.012,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00028.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00028.jpg"
3.859,0.6432,29,0.012,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00029.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00029.jpg"
3.991,0.6652,30,0.012,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00030.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00030.jpg"
4.123,0.6872,31,0.013,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00031.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00031.jpg"
4.254,0.709,32,0.014,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00032.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00032.jpg"
4.387,0.7312,33,0.014,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00033.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00033.jpg"
4.519,0.7532,34,0.014,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00034.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00034.jpg"
4.651,0.7752,35,0.016,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/frame_00035.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -14)/frames/extracted/frame_00035.jpg"
