time_s,displacement_mm,frame,force_n,image_path,extracted_path
0.0,0.0,0,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00000.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00000.jpg"
0.127,0.0212,1,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00001.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00001.jpg"
0.261,0.0435,2,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00002.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00002.jpg"
0.39,0.065,3,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00003.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00003.jpg"
0.555,0.0925,4,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00004.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00004.jpg"
0.686,0.1143,5,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00005.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00005.jpg"
0.819,0.1365,6,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00006.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00006.jpg"
0.95,0.1583,7,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00007.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00007.jpg"
1.083,0.1805,8,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00008.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00008.jpg"
1.216,0.2027,9,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00009.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00009.jpg"
1.347,0.2245,10,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00010.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00010.jpg"
1.478,0.2463,11,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00011.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00011.jpg"
1.609,0.2682,12,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00012.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00012.jpg"
1.741,0.2902,13,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00013.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00013.jpg"
1.875,0.3125,14,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00014.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00014.jpg"
2.007,0.3345,15,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00015.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00015.jpg"
2.139,0.3565,16,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00016.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00016.jpg"
2.271,0.3785,17,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00017.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00017.jpg"
2.403,0.4005,18,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00018.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00018.jpg"
2.535,0.4225,19,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00019.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00019.jpg"
2.668,0.4447,20,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00020.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00020.jpg"
2.799,0.4665,21,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00021.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00021.jpg"
2.931,0.4885,22,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00022.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00022.jpg"
3.064,0.5107,23,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/frame_00023.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -8)/frames/extracted/frame_00023.jpg"
