time_s,displacement_mm,frame,force_n,image_path,extracted_path
0.0,0.0,0,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00000.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00000.jpg"
0.129,0.0215,1,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00001.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00001.jpg"
0.262,0.0437,2,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00002.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00002.jpg"
0.395,0.0658,3,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00003.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00003.jpg"
0.525,0.0875,4,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00004.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00004.jpg"
0.656,0.1093,5,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00005.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00005.jpg"
0.79,0.1317,6,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00006.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00006.jpg"
0.922,0.1537,7,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00007.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00007.jpg"
1.053,0.1755,8,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00008.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00008.jpg"
1.186,0.1977,9,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00009.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00009.jpg"
1.318,0.2197,10,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00010.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00010.jpg"
1.452,0.242,11,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00011.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00011.jpg"
1.58,0.2633,12,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00012.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00012.jpg"
1.713,0.2855,13,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00013.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00013.jpg"
1.845,0.3075,14,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00014.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00014.jpg"
1.979,0.3298,15,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00015.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00015.jpg"
2.107,0.3512,16,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00016.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00016.jpg"
2.243,0.3738,17,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00017.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00017.jpg"
2.373,0.3955,18,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00018.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00018.jpg"
2.507,0.4178,19,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00019.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00019.jpg"
2.636,0.4393,20,0.008,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00020.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00020.jpg"
2.772,0.462,21,0.01,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00021.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00021.jpg"
2.902,0.4837,22,0.01,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00022.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00022.jpg"
3.036,0.506,23,0.01,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00023.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00023.jpg"
3.165,0.5275,24,0.011,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00024.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00024.jpg"
3.299,0.5498,25,0.012,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00025.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00025.jpg"
3.461,0.5768,26,0.012,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/frame_00026.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -16)/frames/extracted/frame_00026.jpg"
