time_s,displacement_mm,frame,force_n,image_path,extracted_path
0.0,0.0,0,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00000.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00000.jpg"
0.129,0.0215,1,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00001.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00001.jpg"
0.262,0.0437,2,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00002.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00002.jpg"
0.394,0.0657,3,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00003.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00003.jpg"
0.526,0.0877,4,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00004.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00004.jpg"
0.658,0.1097,5,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00005.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00005.jpg"
0.79,0.1317,6,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00006.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00006.jpg"
0.956,0.1593,7,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00007.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00007.jpg"
1.086,0.181,8,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00008.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00008.jpg"
1.22,0.2033,9,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00009.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00009.jpg"
1.35,0.225,10,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00010.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00010.jpg"
1.483,0.2472,11,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00011.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00011.jpg"
1.615,0.2692,12,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00012.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00012.jpg"
1.748,0.2913,13,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00013.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00013.jpg"
1.877,0.3128,14,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00014.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00014.jpg"
2.009,0.3348,15,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00015.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00015.jpg"
2.141,0.3568,16,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00016.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00016.jpg"
2.277,0.3795,17,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00017.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00017.jpg"
2.407,0.4012,18,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00018.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00018.jpg"
2.541,0.4235,19,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/frame_00019.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -2)/frames/extracted/frame_00019.jpg"
