time_s,displacement_mm,frame,force_n,image_path,extracted_path
0.0,0.0,0,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00000.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00000.jpg"
0.162,0.027,1,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00001.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00001.jpg"
0.289,0.0482,2,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00002.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00002.jpg"
0.423,0.0705,3,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00003.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00003.jpg"
0.556,0.0927,4,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00004.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00004.jpg"
0.688,0.1147,5,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00005.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00005.jpg"
0.82,0.1367,6,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00006.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00006.jpg"
0.953,0.1588,7,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00007.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00007.jpg"
1.085,0.1808,8,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00008.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00008.jpg"
1.217,0.2028,9,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00009.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00009.jpg"
1.348,0.2247,10,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00010.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00010.jpg"
1.479,0.2465,11,0.004,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00011.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00011.jpg"
1.612,0.2687,12,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00012.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00012.jpg"
1.746,0.291,13,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00013.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00013.jpg"
1.876,0.3127,14,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00014.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00014.jpg"
2.008,0.3347,15,0.005,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00015.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00015.jpg"
2.14,0.3567,16,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00016.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00016.jpg"
2.27,0.3783,17,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00017.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00017.jpg"
2.403,0.4005,18,0.006,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00018.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00018.jpg"
2.536,0.4227,19,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00019.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00019.jpg"
2.668,0.4447,20,0.007,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00020.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00020.jpg"
2.801,0.4668,21,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00021.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00021.jpg"
2.932,0.4887,22,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00022.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00022.jpg"
3.066,0.511,23,0.01,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00023.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00023.jpg"
3.196,0.5327,24,0.009,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00024.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00024.jpg"
3.327,0.5545,25,0.01,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00025.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00025.jpg"
3.46,0.5767,26,0.011,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00026.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00026.jpg"
3.593,0.5988,27,0.01,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00027.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00027.jpg"
3.724,0.6207,28,0.011,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00028.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00028.jpg"
3.857,0.6428,29,0.012,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00029.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00029.jpg"
3.989,0.6648,30,0.011,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00030.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00030.jpg"
4.121,0.6868,31,0.012,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00031.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00031.jpg"
4.252,0.7087,32,0.013,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00032.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00032.jpg"
4.385,0.7308,33,0.014,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00033.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00033.jpg"
4.516,0.7527,34,0.014,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00034.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00034.jpg"
4.65,0.775,35,0.014,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00035.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00035.jpg"
4.781,0.7968,36,0.015,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00036.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00036.jpg"
4.913,0.8188,37,0.016,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00037.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00037.jpg"
5.044,0.8407,38,0.016,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00038.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00038.jpg"
5.178,0.863,39,0.017,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/frame_00039.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -6)/frames/extracted/frame_00039.jpg"
