time_s,displacement_mm,frame,force_n,image_path,extracted_path
0.0,0.0,0,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00000.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00000.jpg"
0.128,0.0213,1,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00001.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00001.jpg"
0.262,0.0437,2,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00002.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00002.jpg"
0.39,0.065,3,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00003.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00003.jpg"
0.524,0.0873,4,0.0,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00004.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00004.jpg"
0.655,0.1092,5,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00005.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00005.jpg"
0.787,0.1312,6,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00006.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00006.jpg"
0.918,0.153,7,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00007.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00007.jpg"
1.052,0.1753,8,0.001,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00008.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00008.jpg"
1.184,0.1973,9,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00009.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00009.jpg"
1.317,0.2195,10,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00010.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00010.jpg"
1.447,0.2412,11,0.002,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00011.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00011.jpg"
1.582,0.2637,12,0.003,"/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/frame_00012.jpg","/Users/ishanahluwalia/TactileSensing/dataset/output/(-140, -12)/frames/extracted/frame_00012.jpg"
